code	segment	plot_dot1	IC_down_cn1	IC_up_cn1	plot_dot2	IC_down_cn2	IC_up_cn2	plot_dot3	IC_down_cn3	IC_up_cn3	chr	type	chrom
63	gain	chr8-155687-2721853-gain	0.5	0.363636363636364	0.635869565217391	NA	NA	NA	NA	NA	NA	chr8	gain	8
64	gain	chr8-6398327-10496302-gain	0.218543046357616	0.103448275862069	0.341772151898734	NA	NA	NA	NA	NA	NA	chr8	gain	8
65	gain	chr8-63734876-72997951-gain	0.25	0.130434782608696	0.36	NA	NA	NA	NA	NA	NA	chr8	gain	8
66	gain	chr9-10089848-13498149-gain	0.307086614173228	0.173553719008264	0.447761194029851	NA	NA	NA	NA	NA	NA	chr9	gain	9
67	gain	chr9-17736454-21272100-gain	0.175	0.0775862068965517	0.30952380952381	NA	NA	NA	NA	NA	NA	chr9	gain	9
68	gain	chr9-74797785-86304899-gain	0.219269102990033	0.143344709897611	0.308681672025723	NA	NA	NA	NA	NA	NA	chr9	gain	9
5	gain	chr10-83289794-90397293-gain	0.372881355932203	0.248520710059172	0.50033422459893	NA	NA	NA	NA	NA	NA	chr10	gain	10
6	gain	chr11-65584512-73532916-gain	0.34	0.20979020979021	0.474683544303797	NA	NA	NA	NA	NA	NA	chr11	gain	11
7	gain	chr12-124276909-133702259-gain	0.462616822429906	0.350894906743185	0.575892857142857	NA	NA	NA	NA	NA	NA	chr12	gain	12
8	gain	chr12-21241437-29427151-gain	0.3	0.190751445086705	0.428571428571429	NA	NA	NA	NA	NA	NA	chr12	gain	12
9	gain	chr12-66843267-74051936-gain	0.244186046511628	0.127272727272727	0.35195530726257	NA	NA	NA	NA	NA	NA	chr12	gain	12
10	gain	chr13-26248093-33957317-gain	0.445054945054945	0.312138728323699	0.56544502617801	NA	NA	NA	NA	NA	NA	chr13	gain	13
11	gain	chr13-42578316-53411519-gain	0.309417040358744	0.196261682242991	0.413793103448276	NA	NA	NA	NA	NA	NA	chr13	gain	13
12	gain	chr13-90409740-97789204-gain	0.534031413612565	0.397790055248619	0.656716417910448	NA	NA	NA	NA	NA	NA	chr13	gain	13
13	gain	chr14-58312151-73338454-gain	0.343108504398827	0.254545454545455	0.43342776203966	NA	NA	NA	NA	NA	NA	chr14	gain	14
14	gain	chr14-77409065-83545536-gain	0.315126050420168	0.209606986899563	0.423387096774194	NA	NA	NA	NA	NA	NA	chr14	gain	14
15	gain	chr14-94666218-99196106-gain	0.521739130434783	0.389312977099237	0.657534246575342	NA	NA	NA	NA	NA	NA	chr14	gain	14
16	gain	chr15-86361183-102431166-gain	0.347058823529412	0.272177419354839	0.422979630635524	NA	NA	NA	NA	NA	NA	chr15	gain	15
17	gain	chr15-24971837-29696330-gain	0.359154929577465	0.222222222222222	0.5	NA	NA	NA	NA	NA	NA	chr15	gain	15
18	gain	chr15-66422307-72095711-gain	0.25	0.129805491990847	0.380952380952381	NA	NA	NA	NA	NA	NA	chr15	gain	15
19	gain	chr16-46501871-54522121-gain	0.275862068965517	0.161676646706587	0.395604395604396	NA	NA	NA	NA	NA	NA	chr16	gain	16
20	gain	chr17-27258122-34819191-gain	0.415094339622642	0.278145695364238	0.538922155688623	NA	NA	NA	NA	NA	NA	chr17	gain	17
21	gain	chr17-47697727-53910854-gain	0.094488188976378	0.0241935483870968	0.183206106870229	NA	NA	NA	NA	NA	NA	chr17	gain	17
22	gain	chr18-38153774-44278985-gain	0.32484076433121	0.181208053691275	0.454545454545455	NA	NA	NA	NA	NA	NA	chr18	gain	18
23	gain	chr18-49920639-55513347-gain	0.240875912408759	0.114503816793893	0.375	NA	NA	NA	NA	NA	NA	chr18	gain	18
24	gain	chr19-31952890-39455279-gain	0.409090909090909	0.285714285714286	0.535135135135135	NA	NA	NA	NA	NA	NA	chr19	gain	19
32	gain	chr20-51635023-57072098-gain	0.492537313432836	0.333333333333333	0.633802816901408	NA	NA	NA	NA	NA	NA	chr20	gain	20
110	gain_2	chr20-25089790-26286014-gain_2	1.20727272727273	1.15175097276265	1.25597269624573	1.20727272727273	1.15175097276265	1.25597269624573	NA	NA	NA	chr20	gain	20
33	gain	chr21-17296424-21105189-gain	0.368421052631579	0.222222222222222	0.520661157024793	NA	NA	NA	NA	NA	NA	chr21	gain	21
34	gain	chr21-32401130-38414195-gain	0.237154150197628	0.146938775510204	0.32183908045977	NA	NA	NA	NA	NA	NA	chr21	gain	21
35	gain	chr21-40936148-46575512-gain	0.380281690140845	0.244444444444444	0.52	NA	NA	NA	NA	NA	NA	chr21	gain	21
69	gain	chrX-144676210-155249621-gain	0.125	0.0481283422459893	0.212121212121212	NA	NA	NA	NA	NA	NA	chrX	gain	X
70	gain	chrX-17167482-30889366-gain	0.0958904109589041	0.0280373831775701	0.173333333333333	NA	NA	NA	NA	NA	NA	chrX	gain	X
71	gain	chrX-42819106-51062436-gain	0.131578947368421	0.0272727272727273	0.252100840336134	NA	NA	NA	NA	NA	NA	chrX	gain	X
