sample	Chrom	start	end	class	nMaj1_A	nMin1_A	frac1_A	nMaj2_A	nMin2_A	code_batt
05-11733T--05-11733N	5	172109673	181258899	gain	2	1	1	NA	NA	no_sub
05-11733T--05-11733N	6	160271	27600022	gain	2	1	1	NA	NA	no_sub
05-11733T--05-11733N	6	27603975	170612497	normal	1	1	1	NA	NA	no_sub
05-11733T--05-11733N	7	80448	57993845	normal	1	1	1	NA	NA	no_sub
05-11733T--05-11733N	7	61075640	159329992	normal	1	1	1	NA	NA	no_sub
05-11733T--05-11733N	8	192083	15835736	deletion	1	0	1	NA	NA	no_sub
05-11733T--05-11733N	8	15836088	71149963	normal	1	1	1	NA	NA	no_sub
05-11733T--05-11733N	8	71159305	145067348	gain	2	1	1	NA	NA	no_sub
05-11733T--05-11733N	9	203937	38773523	normal	1	1	1	NA	NA	no_sub
05-11733T--05-11733N	9	61666955	61878825	normal	1	1	1	NA	NA	no_sub
05-11733T--05-11733N	9	68416929	129436088	normal	1	1	1	NA	NA	no_sub
05-11733T--05-11733N	9	129436229	129445903	LOH_2	3	0	1	NA	NA	no_sub
05-11733T--05-11733N	9	129446555	138174508	normal	1	1	1	NA	NA	no_sub
05-11733T--05-11733N	10	49156	133395751	normal	1	1	1	NA	NA	no_sub
05-11733T--05-11733N	11	197557	134999713	normal	1	1	1	NA	NA	no_sub
05-11733T--05-11733N	12	79119	133264554	normal	1	1	1	NA	NA	no_sub
05-11733T--05-11733N	13	18875648	78491770	normal	1	1	1	NA	NA	no_sub
05-11733T--05-11733N	13	78500926	114344377	deletion	1	0	1	NA	NA	no_sub
05-11733T--05-11733N	14	19969730	106881246	normal	1	1	1	NA	NA	no_sub
05-11733T--05-11733N	15	19796459	101890963	normal	1	1	1	NA	NA	no_sub
05-11733T--05-11733N	16	76945	89999852	normal	1	1	1	NA	NA	no_sub
05-11733T--05-11733N	17	155896	79983857	normal	1	1	1	NA	NA	no_sub
05-11733T--05-11733N	18	125632	79998415	normal	1	1	1	NA	NA	no_sub
05-11733T--05-11733N	19	226776	58580350	normal	1	1	1	NA	NA	no_sub
05-11733T--05-11733N	20	20005782	64287865	normal	1	1	1	NA	NA	no_sub
05-11733T--05-11733N	21	13900911	46681423	normal	1	1	1	NA	NA	no_sub
05-11733T--05-11733N	22	16385677	21108369	normal	1	1	1	NA	NA	no_sub
05-11733T--05-11733N	22	21572167	23929935	deletion	1	0	1	NA	NA	no_sub
05-11733T--05-11733N	22	23936285	24006363	deletion	1	0	0.26477630506255	1	1	subclonal
05-11733T--05-11733N	22	24010332	49999547	deletion	1	0	1	NA	NA	no_sub
05-11733T--05-11733N	X	1336907	155999818	normal	1	1	1	NA	NA	no_sub
05-13982T--05-13982N	1	841166	197867217	normal	1	1	1	NA	NA	no_sub
05-13982T--05-13982N	1	197871558	248922185	normal	1	1	0.341888779203683	2	1	subclonal
05-13982T--05-13982N	2	10419	242043342	normal	1	1	1	NA	NA	no_sub
05-13982T--05-13982N	3	18685	198119409	normal	1	1	1	NA	NA	no_sub
05-13982T--05-13982N	4	101374	189840839	normal	1	1	1	NA	NA	no_sub
05-13982T--05-13982N	5	866942	181315811	normal	1	1	1	NA	NA	no_sub
05-13982T--05-13982N	6	160271	170610382	normal	1	1	1	NA	NA	no_sub
05-13982T--05-13982N	7	82180	159321577	normal	1	1	1	NA	NA	no_sub
05-13982T--05-13982N	8	196791	145049787	normal	1	1	1	NA	NA	no_sub
05-13982T--05-13982N	9	203937	38774354	normal	1	1	1	NA	NA	no_sub
05-13982T--05-13982N	9	61664314	61694122	normal	1	1	1	NA	NA	no_sub
05-13982T--05-13982N	9	68418622	138174968	normal	1	1	1	NA	NA	no_sub
05-13982T--05-13982N	10	49156	133422135	normal	1	1	1	NA	NA	no_sub
05-13982T--05-13982N	11	198510	134998351	normal	1	1	1	NA	NA	no_sub
05-13982T--05-13982N	12	79119	133264554	normal	1	1	1	NA	NA	no_sub
05-13982T--05-13982N	13	18936342	114299210	normal	1	1	1	NA	NA	no_sub
05-13982T--05-13982N	14	19956892	106875390	normal	1	1	1	NA	NA	no_sub
05-13982T--05-13982N	15	19885878	49096052	normal	1	1	0.599797230596836	2	1	subclonal
05-13982T--05-13982N	15	49097150	59404817	normal	1	1	0.369893512003523	2	1	subclonal
05-13982T--05-13982N	15	59406191	70990468	normal	1	1	0.691510365251733	2	1	subclonal
05-13982T--05-13982N	15	70991638	98139891	normal	1	1	1	NA	NA	no_sub
05-13982T--05-13982N	15	98140442	101890963	deletion	1	0	0.308489634748269	1	1	subclonal
05-13982T--05-13982N	16	34870	89999533	normal	1	1	1	NA	NA	no_sub
05-13982T--05-13982N	17	151596	79995119	normal	1	1	1	NA	NA	no_sub
05-13982T--05-13982N	18	132649	14142121	deletion	1	0	1	NA	NA	no_sub
05-13982T--05-13982N	18	20979714	79987878	normal	1	1	1	NA	NA	no_sub
05-13982T--05-13982N	19	247288	58585941	normal	1	1	1	NA	NA	no_sub
05-13982T--05-13982N	20	20008178	64287865	normal	1	1	1	NA	NA	no_sub
05-13982T--05-13982N	21	13906833	46643344	normal	1	1	1	NA	NA	no_sub
05-13982T--05-13982N	22	16385677	19003864	normal	1	1	1	NA	NA	no_sub
05-13982T--05-13982N	22	19026951	21804797	deletion	1	0	1	NA	NA	no_sub
05-13982T--05-13982N	22	21815314	22898605	deletion	0	0	0.93617751834843	1	0	subclonal
05-13982T--05-13982N	22	22907184	49999695	deletion	1	0	1	NA	NA	no_sub
05-13982T--05-13982N	X	1342726	58531086	normal	1	1	1	NA	NA	no_sub
05-13982T--05-13982N	X	62516111	89201195	normal	1	1	1	NA	NA	no_sub
05-13982T--05-13982N	X	93212138	155826061	normal	1	1	1	NA	NA	no_sub
05-18796T--05-18796N	1	851618	248907281	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-18796T--05-18796N	2	14004	242043342	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-18796T--05-18796N	3	19121	75701647	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-18796T--05-18796N	3	75707364	75775725	LOH_3	4	0	1	NA	NA	no_sub
05-18796T--05-18796N	3	75777364	198119409	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-18796T--05-18796N	4	11870	189869091	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-18796T--05-18796N	5	852576	1325688	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-18796T--05-18796N	5	1326986	1495104	LOH_2	3	0	0.77839684601026	3	1	subclonal
05-18796T--05-18796N	5	1495648	181288809	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-18796T--05-18796N	6	160271	170609106	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-18796T--05-18796N	7	80500	159329992	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-18796T--05-18796N	8	209286	145074313	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-18796T--05-18796N	9	203639	38773523	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-18796T--05-18796N	9	61664314	61878825	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-18796T--05-18796N	9	68458013	138119688	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-18796T--05-18796N	9	138132345	138170499	high_LOH	6	0	1	NA	NA	no_sub
05-18796T--05-18796N	10	58487	133422871	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-18796T--05-18796N	11	196944	102282695	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-18796T--05-18796N	11	102337659	116723999	LOH_2	3	0	1	NA	NA	no_sub
05-18796T--05-18796N	11	116724640	134991081	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-18796T--05-18796N	12	78435	133259913	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-18796T--05-18796N	13	18875648	44291663	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-18796T--05-18796N	13	44292208	114323029	LOH_2	3	0	1	NA	NA	no_sub
05-18796T--05-18796N	14	19956892	106875390	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-18796T--05-18796N	15	19824435	101848788	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-18796T--05-18796N	16	33807	89997192	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-18796T--05-18796N	17	153311	79991703	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-18796T--05-18796N	18	129379	79999306	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-18796T--05-18796N	19	255924	34345557	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-18796T--05-18796N	19	34365155	58579677	gain_2	3	1	1	NA	NA	no_sub
05-18796T--05-18796N	20	20001903	26330792	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-18796T--05-18796N	20	30185407	38408078	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-18796T--05-18796N	20	38463439	38463903	high_LOH	15	0	1	NA	NA	no_sub
05-18796T--05-18796N	20	38463989	64286376	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-18796T--05-18796N	21	13900911	46584579	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-18796T--05-18796N	22	15396825	49999850	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-18796T--05-18796N	X	1334946	2698739	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-18796T--05-18796N	X	155703951	155999818	whole_chrom_dup	2	2	0.774467009941017	3	2	subclonal
05-20551T--05-20551N	1	827221	248907069	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-20551T--05-20551N	2	20807	241908700	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-20551T--05-20551N	3	19121	198098611	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-20551T--05-20551N	4	69675	189860830	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-20551T--05-20551N	5	857807	181315811	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-20551T--05-20551N	6	160271	97723280	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-20551T--05-20551N	6	97731850	157273003	LOH	2	0	1	NA	NA	no_sub
05-20551T--05-20551N	6	157274291	170612497	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-20551T--05-20551N	7	104023	159329992	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-20551T--05-20551N	8	205687	145069728	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-20551T--05-20551N	9	203937	38773523	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-20551T--05-20551N	9	61672681	61672681	whole_chrom_dup	6	5	1	NA	NA	no_sub
05-20551T--05-20551N	9	68448368	138174508	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-20551T--05-20551N	10	48486	133412826	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-20551T--05-20551N	11	196944	134998351	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-20551T--05-20551N	12	79119	133254733	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-20551T--05-20551N	13	18875648	114320935	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-20551T--05-20551N	14	19956892	106874344	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-20551T--05-20551N	15	19796608	101844841	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-20551T--05-20551N	16	33802	89998166	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-20551T--05-20551N	17	182458	79991703	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-20551T--05-20551N	18	143513	79999306	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-20551T--05-20551N	19	226776	15672352	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-20551T--05-20551N	19	15673850	15677129	high_LOH	6	0	1	NA	NA	no_sub
05-20551T--05-20551N	19	15677768	58553787	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-20551T--05-20551N	20	20001903	64287865	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-20551T--05-20551N	21	13908491	46679698	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-20551T--05-20551N	22	16385463	22720405	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-20551T--05-20551N	22	22721160	22806873	LOH	2	0	1	NA	NA	no_sub
05-20551T--05-20551N	22	22879592	49999695	whole_chrom_dup	2	2	1	NA	NA	no_sub
05-20551T--05-20551N	X	1335016	155999818	whole_chrom_dup	2	2	1	NA	NA	no_sub
06-19179T--06-19179N	1	827221	91657718	normal	1	1	1	NA	NA	no_sub
06-19179T--06-19179N	1	91658017	107402333	deletion	1	0	0.322800007010526	2	0	subclonal
06-19179T--06-19179N	1	107403640	248928274	normal	1	1	1	NA	NA	no_sub
06-19179T--06-19179N	2	55050	88861810	normal	1	1	1	NA	NA	no_sub
06-19179T--06-19179N	2	88862035	91997792	deletion	1	0	0.270806807227856	2	0	subclonal
06-19179T--06-19179N	2	91999325	242043342	normal	1	1	1	NA	NA	no_sub
06-19179T--06-19179N	3	39100	90432003	normal	1	1	1	NA	NA	no_sub
06-19179T--06-19179N	3	93786912	198113356	gain	2	1	1	NA	NA	no_sub
06-19179T--06-19179N	4	81410	189829059	normal	1	1	1	NA	NA	no_sub
06-19179T--06-19179N	5	854550	181295681	normal	1	1	1	NA	NA	no_sub
06-19179T--06-19179N	6	89919	93205391	normal	1	1	1	NA	NA	no_sub
06-19179T--06-19179N	6	93205521	93232048	LOH	2	0	1	NA	NA	no_sub
06-19179T--06-19179N	6	93233714	170609106	normal	1	1	1	NA	NA	no_sub
06-19179T--06-19179N	7	83177	55019446	normal	1	1	1	NA	NA	no_sub
06-19179T--06-19179N	7	55023606	57993845	deletion	1	0	0.275927401433475	1	1	subclonal
06-19179T--06-19179N	7	61075640	61114362	deletion	1	0	0.513755101753752	2	0	subclonal
06-19179T--06-19179N	7	62297392	63472447	deletion	1	0	0.303340384312045	1	1	subclonal
06-19179T--06-19179N	7	63480306	65400968	normal	1	1	1	NA	NA	no_sub
06-19179T--06-19179N	7	65401231	70239609	deletion	1	0	0.303340384312045	1	1	subclonal
06-19179T--06-19179N	7	70315747	76321913	LOH	2	0	0.354814633376893	2	1	subclonal
06-19179T--06-19179N	7	76323449	78292489	deletion	1	0	0.321912244576046	1	1	subclonal
06-19179T--06-19179N	7	78293071	90208383	LOH	2	0	0.343888708914178	2	1	subclonal
06-19179T--06-19179N	7	90218249	94823819	deletion	1	0	0.268869886094767	1	1	subclonal
06-19179T--06-19179N	7	94848003	95734015	LOH	2	0	0.350110415899887	2	1	subclonal
06-19179T--06-19179N	7	95735286	98874752	deletion	1	0	0.281673214004041	1	1	subclonal
06-19179T--06-19179N	7	98880123	103780308	LOH	2	0	0.330158045221564	2	1	subclonal
06-19179T--06-19179N	7	103781414	104389085	LOH_2	3	0	0.359203741730169	3	1	subclonal
06-19179T--06-19179N	7	104389260	106097929	LOH	2	0	0.327419484540224	2	1	subclonal
06-19179T--06-19179N	7	106111502	111145623	deletion	1	0	0.300451428270975	1	1	subclonal
06-19179T--06-19179N	7	111163665	112848522	LOH	2	0	0.310056049225566	2	1	subclonal
06-19179T--06-19179N	7	112916115	118296531	LOH_2	3	0	0.358047910442627	3	1	subclonal
06-19179T--06-19179N	7	118333973	121339514	LOH	2	0	0.338491565504884	2	1	subclonal
06-19179T--06-19179N	7	121393429	121738890	deletion	1	0	0.256831460004664	1	1	subclonal
06-19179T--06-19179N	7	121749805	123168474	LOH	2	0	0.327977458262185	2	1	subclonal
06-19179T--06-19179N	7	123202999	130112661	deletion	1	0	0.279675531635221	1	1	subclonal
06-19179T--06-19179N	7	130115374	136656485	LOH	2	0	0.331219486084473	2	1	subclonal
06-19179T--06-19179N	7	136656699	136950014	deletion	1	0	0.295756874704244	1	1	subclonal
06-19179T--06-19179N	7	136954229	143731945	LOH	2	0	0.331615752668385	2	1	subclonal
06-19179T--06-19179N	7	143732506	144486474	normal	1	1	0.938340191959316	2	1	subclonal
06-19179T--06-19179N	7	144487294	147685385	LOH	2	0	0.338055858615068	2	1	subclonal
06-19179T--06-19179N	7	147689434	148178346	deletion	1	0	0.284210810526602	1	1	subclonal
06-19179T--06-19179N	7	148179774	148295479	LOH	2	0	0.327977458262185	2	1	subclonal
06-19179T--06-19179N	7	148295720	151854261	deletion	1	0	0.262894999737107	1	1	subclonal
06-19179T--06-19179N	7	151856630	152752065	gain	2	1	1	NA	NA	no_sub
06-19179T--06-19179N	7	152754046	159329992	LOH	2	0	0.332576514394696	2	1	subclonal
06-19179T--06-19179N	8	192425	145075236	normal	1	1	1	NA	NA	no_sub
06-19179T--06-19179N	9	203937	38773523	normal	1	1	1	NA	NA	no_sub
06-19179T--06-19179N	9	61665362	61687984	normal	1	1	1	NA	NA	no_sub
06-19179T--06-19179N	9	68422860	138174508	normal	1	1	1	NA	NA	no_sub
06-19179T--06-19179N	10	48486	133422370	normal	1	1	1	NA	NA	no_sub
06-19179T--06-19179N	11	197337	134999713	normal	1	1	1	NA	NA	no_sub
06-19179T--06-19179N	12	79119	133255670	normal	1	1	1	NA	NA	no_sub
06-19179T--06-19179N	13	18875648	114341521	normal	1	1	1	NA	NA	no_sub
06-19179T--06-19179N	14	20008086	106881246	normal	1	1	1	NA	NA	no_sub
06-19179T--06-19179N	15	19796459	101863123	normal	1	1	1	NA	NA	no_sub
06-19179T--06-19179N	16	34870	89994936	normal	1	1	1	NA	NA	no_sub
06-19179T--06-19179N	17	186760	22741324	deletion	1	0	0.246464062253534	1	1	subclonal
06-19179T--06-19179N	17	26962870	79999603	normal	1	1	1	NA	NA	no_sub
06-19179T--06-19179N	18	125729	14142303	normal	1	1	1	NA	NA	no_sub
06-19179T--06-19179N	18	20999425	79998683	normal	1	1	1	NA	NA	no_sub
06-19179T--06-19179N	19	226776	58585941	normal	1	1	1	NA	NA	no_sub
06-19179T--06-19179N	20	20072183	38463439	normal	1	1	1	NA	NA	no_sub
06-19179T--06-19179N	20	38463461	38463903	LOH_3	4	0	1	NA	NA	no_sub
06-19179T--06-19179N	20	38463989	64324353	normal	1	1	1	NA	NA	no_sub
06-19179T--06-19179N	21	13900911	46681423	normal	1	1	1	NA	NA	no_sub
06-19179T--06-19179N	22	16385677	22668473	normal	1	1	1	NA	NA	no_sub
06-19179T--06-19179N	22	22669132	22878385	LOH	2	0	1	NA	NA	no_sub
06-19179T--06-19179N	22	22911088	49999547	normal	1	1	1	NA	NA	no_sub
06-19179T--06-19179N	X	1342726	155999818	normal	1	1	1	NA	NA	no_sub
06-23090T--06-23090N	1	832873	46176155	normal	1	1	1	NA	NA	no_sub
06-23090T--06-23090N	1	46214495	48552224	deletion	1	0	1	NA	NA	no_sub
06-23090T--06-23090N	1	48554972	65939043	normal	1	1	1	NA	NA	no_sub
06-23090T--06-23090N	1	65940745	121581391	deletion	1	0	1	NA	NA	no_sub
06-23090T--06-23090N	1	143542694	204351890	normal	1	1	1	NA	NA	no_sub
06-23090T--06-23090N	1	204390049	248935535	deletion	1	0	0.0950469452703824	1	1	subclonal
06-23090T--06-23090N	2	16078	55619736	normal	1	1	1	NA	NA	no_sub
06-23090T--06-23090N	2	55620250	91858512	deletion	1	0	0.123634779785951	1	1	subclonal
06-23090T--06-23090N	2	91863391	117065723	deletion	1	0	0.134409821594483	1	1	subclonal
06-23090T--06-23090N	2	117067206	229847458	normal	1	1	1	NA	NA	no_sub
06-23090T--06-23090N	2	229849309	230036931	gain	2	1	1	NA	NA	no_sub
06-23090T--06-23090N	2	230042646	242041812	normal	1	1	1	NA	NA	no_sub
06-23090T--06-23090N	3	18685	198119409	normal	1	1	1	NA	NA	no_sub
06-23090T--06-23090N	4	92344	189869091	normal	1	1	1	NA	NA	no_sub
06-23090T--06-23090N	5	852576	181288809	normal	1	1	1	NA	NA	no_sub
06-23090T--06-23090N	6	160271	170610647	normal	1	1	1	NA	NA	no_sub
06-23090T--06-23090N	7	81237	159329992	normal	1	1	1	NA	NA	no_sub
06-23090T--06-23090N	8	205687	145059697	normal	1	1	1	NA	NA	no_sub
06-23090T--06-23090N	9	203937	38773523	normal	1	1	1	NA	NA	no_sub
06-23090T--06-23090N	9	61665362	61692021	normal	1	1	1	NA	NA	no_sub
06-23090T--06-23090N	9	68493516	138175313	normal	1	1	1	NA	NA	no_sub
06-23090T--06-23090N	10	52147	38813578	normal	1	1	1	NA	NA	no_sub
06-23090T--06-23090N	10	42149938	42278558	deletion	1	0	0.719309721198347	1	1	subclonal
06-23090T--06-23090N	10	42279072	133414342	normal	1	1	1	NA	NA	no_sub
06-23090T--06-23090N	11	199153	69557148	normal	1	1	1	NA	NA	no_sub
06-23090T--06-23090N	11	69558257	69648142	gain	2	1	1	NA	NA	no_sub
06-23090T--06-23090N	11	69654008	79745527	normal	1	1	1	NA	NA	no_sub
06-23090T--06-23090N	11	79749969	114580633	deletion	1	0	1	NA	NA	no_sub
06-23090T--06-23090N	11	114657192	134998351	normal	1	1	1	NA	NA	no_sub
06-23090T--06-23090N	12	125976	11073288	normal	1	1	1	NA	NA	no_sub
06-23090T--06-23090N	12	11073290	50566697	normal	1	1	1	NA	NA	no_sub
06-23090T--06-23090N	12	50566940	101002014	normal	1	1	0.934771704226208	2	1	subclonal
06-23090T--06-23090N	12	101003626	133255670	normal	1	1	0.864770606322623	2	1	subclonal
06-23090T--06-23090N	13	18881817	114323029	deletion	1	0	1	NA	NA	no_sub
06-23090T--06-23090N	14	20006052	33051486	deletion	1	0	1	NA	NA	no_sub
06-23090T--06-23090N	14	33051713	33172058	normal	1	1	1	NA	NA	no_sub
06-23090T--06-23090N	14	33172913	36121986	deletion	1	0	1	NA	NA	no_sub
06-23090T--06-23090N	14	36123775	62330002	normal	1	1	1	NA	NA	no_sub
06-23090T--06-23090N	14	62345543	77780434	deletion	1	0	1	NA	NA	no_sub
06-23090T--06-23090N	14	77781357	106881246	normal	1	1	1	NA	NA	no_sub
06-23090T--06-23090N	15	19796521	101890963	normal	1	1	1	NA	NA	no_sub
06-23090T--06-23090N	16	33802	89997192	normal	1	1	1	NA	NA	no_sub
06-23090T--06-23090N	17	151596	4404591	normal	1	1	0.88911189718455	2	1	subclonal
06-23090T--06-23090N	17	4405782	79990249	normal	1	1	1	NA	NA	no_sub
06-23090T--06-23090N	18	139490	79998683	normal	1	1	1	NA	NA	no_sub
06-23090T--06-23090N	19	226776	58580350	normal	1	1	1	NA	NA	no_sub
06-23090T--06-23090N	20	20005302	64324353	normal	1	1	1	NA	NA	no_sub
